channel,copy_theme,url
X,旅ドローン記事告知,https://tojimasaya.com/articles/drone-travel-guide.html?utm_source=x&utm_medium=social&utm_campaign=site_guides_202606
X,Leica M2記事告知,https://tojimasaya.com/articles/leica-m2-travel.html?utm_source=x&utm_medium=social&utm_campaign=site_guides_202606
note profile,プロフィール導線,https://tojimasaya.com/writings.html?utm_source=note&utm_medium=profile&utm_campaign=site_guides_202606
YouTube,動画概要欄導線,https://tojimasaya.com/gallery.html?utm_source=youtube&utm_medium=description&utm_campaign=gallery_202606
DRONE.jp profile,連載プロフィール導線,https://tojimasaya.com/articles/drone-travel-guide.html?utm_source=dronejp&utm_medium=profile&utm_campaign=drone_readers_202606
